Show Number, Air Date, Category, Value, Question, Answer
3508,1999-12-01,"WORLD CITIES","None","Around 59 B.C. the Romans settled what is now this city, & gave it a Latin name that means ""blossoming""","Florence"
278,1985-10-02,"THE CONTINENTS","None","Of the 7, this continent has the greatest number of independent countries","Africa"
4528,2004-04-21,"19th CENTURY ART & HISTORY","None","The red sky in Munch's ""The Scream"" may be from the debris in the Oslo air from this volcano half a world away","Krakatoa"
5186,2007-03-12,"WORD ORIGINS","None","Named for a Mediterranean country, this style of typography is based on a Renaissance script","italics"
5398,2008-02-13,"THE ANIMAL WORLD","None","C. familiaris, it has one of the largest size ranges, from a 2-pound Mexican variety to 200 pounders","a dog"
4977,2006-04-11,"THE EARLY 1900s","None","These 2 nations fought a war on neither nation's soil; the decisive battle came at present-day Shen-Yang","Russia & Japan"
3744,2000-12-07,"POLITICIANS","None","In 1928 this oilman served as chairman of the Republican State Central Committee of Kansas","Alf Landon"
4276,2003-03-17,"SCIENCE","None","As it has no mass, this particle travels at about 186,000 miles per second","photon"
3174,1998-05-21,"AROUND THE WORLD","None","Besides Great Britain, the 2 European countries through which the Greenwich Meridian passes","France & Spain"
1874,1992-10-29,"U.S. PRESIDENTS","None","The first two presidents not born in Virginia were born in what is now this state","Massachusetts"
5053,2006-07-26,"AFRICAN CAPITALS","None","To get the name of its country, add 2 letters to the end of this world capital city","Tunis"
5866,2010-03-01,"NOTORIOUS","None","Often described as a redhead, this accused killer called her hair light brown on her 1890 passport application","Lizzie Borden"
4341,2003-06-16,"BUSINESS BIGGIES","None","Founded in 1898 when several cracker companies merged, in 2000 it passed from one tobacco company to another","Nabisco (it went from R.J. Reynolds to Philip Morris)"
3474,1999-10-14,"MAGAZINES","None","The title of this women's magazine that turned 60 in 1999 used to end with ""Of Hollywood""","Glamour"
2844,1997-01-02,"WORD ORIGINS","None","This word is from the Old English for ""The farmer who lives near you""","Neighbor"
6289,2012-01-12,"WOMEN AUTHORS","None","1 of the 2 American women authors nominated for the Nobel Prize for Literature in 1938","Pearl S. Buck (or) Margaret Mitchell"
5118,2006-12-06,"FAMOUS NEW YORKERS","None","In 1905 he said, ""It is my duty to make money and still more money and to use the money... for the good of my fellow man""","John D. Rockefeller"
3187,1998-06-09,"BASKETBALL","None","2 of the 3 NBA teams whose names don't end with the letter S","Miami Heat, Orlando Magic &/or Utah Jazz"
5473,2008-05-28,"20th CENTURY LEADERS","None","He said, ""An appeaser is one who feeds a crocodile, hoping it will eat him last""","Winston Churchill"
4247,2003-02-04,"INTERNATIONAL GEOGRAPHIC","None","By size, it's the largest country that borders only one other country","Canada (borders only the United States)"
5112,2006-11-28,"ASIA","None","Along with Communist China and North Korea, one of the 2 formerly Communist nations bordering Asian Russia","(1 of) Kazakhstan & Mongolia"
3244,1998-10-15,"BRITISH AUTHORS","None","Among the poems this British novelist wrote in the 1920s were ""Men In New Mexico"" & ""Autumn At Taos""","DH Lawrence"
5672,2009-04-14,"COLLEGES & UNIVERSITIES","None","This 2-word term for a famous group of colleges 1st appeared in an AP story that ran in the Providence Journal in 1935","Ivy League"
3097,1998-02-03,"ASIAN NATIONS","None","In population, it's the largest country that's not a member of the United Nations","Taiwan (Republic of China)"
2997,1997-09-16,"NEW ENGLAND COLONISTS","None","Thomas Morton of Merry Mount was arrested in 1628 by this neighbor & pilgrim he called ""Captaine Shrimp""","Miles Standish"
5313,2007-10-17,"THE EARTH","None","As Earth wobbles slowly on its axis, this moves in a ""Chandler Circle"" with a diameter of about 1 to 70 feet","the North Pole"
3192,1998-06-16,"LATIN PHRASES","None","It can refer to the host used in the Eucharist, or a city southwest of Houston","Corpus Christi, Texas"
5917,2010-05-11,"WORDS IN THE BIBLE","None","In Genesis 2:24 these 2 words are what a man shall do to his parents & then to his wife; add a letter to 1 to get the other","leave & cleave"
4868,2005-11-09,"STATE CAPITALS","None","5 state capitals, all of them on or west of the Mississippi, begin with these 2 letters","S-A"
3977,2001-12-11,"ENTERTAINERS","None","Interviewed on ""60 Minutes"" in 2001, he said, ""It's been one of my lifelong jobs...to make the world laugh at Adolf Hitler""","Mel Brooks"
4350,2003-06-27,"SONG TITLES","None","The inspiration for this 1964 hit posed alone for the Brazil edition of Playboy in 1987 & with her daughter in 2003","\""The Girl from Ipanema\"""
4841,2005-10-03,"PRESIDENTIAL RELATIVES","None","He defended civil rights as a representative from Massachusetts' 11th District from 1895 to 1901","John Francis Fitzgerald"
5566,2008-11-17,"19th CENTURY POLITICS","None","When the GOP convened in 1888, he became the 1st black man to earn a vote for president at a major party convention","Frederick Douglass"
4694,2005-01-20,"BESTSELLING NOVELS","None","Today, many who visit Santa Maria delle Grazie Church admit doing so because of this 2003 No. 1 bestseller","The Da Vinci Code"
3182,1998-06-02,"COMPOSERS","None","When ""Fantasia"" was released in 1940, he was the only one of its composers still alive to hear his music","Igor Stravinsky"
1884,1992-11-12,"POLAND","None","Laid to rest temporarily at Arlington in 1941, his remains were returned to Poland in 1992","Jan Paderewski"
3472,1999-10-12,"MODERN SCIENCE","None","On January 12, 1998 19 European nations endorsed the first international ban of this practice on humans","Cloning"
5520,2008-09-12,"ROYALTY","None","It's the name of today's longest-ruling family in Europe, in power for most of the last 711 years","Grimaldi"
5040,2006-07-07,"STATE FLAGS","None","Its state flag, based on a design from 1776, shows Virtue, dressed like an Amazon, triumphing over Tyranny","Virginia"
5741,2009-07-20,"POETS ON POETS","None","Longfellow began a poem about this earlier poet, ""Tuscan, that wanderest through the realms of gloom""","Dante Alighieri"
5731,2009-07-06,"NAPOLEON","None","Napoleon died before some of his officers could sneak him to this U.S. state where his death mask now resides","Louisiana"
1905,1992-12-11,"TRANSPORTATION","None","Last names of the motor car maker & mortor car dealer who merged in Manchester, England in 1906","Rolls & Royce"
3627,2000-05-16,"WORLD LEADERS","None","Early in the 20th century, he took one of many pseudonyms, Nguyen Ai Quoc, or ""Nguyen the Patriot""","Ho Chi Minh"
4916,2006-01-16,"ANCIENT OBJECTS","None","In I Kings 8 there was nothing inside it except 2 tablets put there by Moses","the Ark of the Covenant"
5588,2008-12-17,"NOVEL INSPIRATIONS","None","The house in Canada <a href=""http://www.j-archive.com/media/2008-12-17_FJ.jpg"" target=""_blank"">seen here</a> inspired this beloved novel that's celebrating its 100th anniversary in 2008","Anne of Green Gables"
2847,1997-01-07,"WORLD LEADERS","None","His brother Jonathan lost his life in 1976 leading the raid on Entebbe","Benjamin Netanyahu (prime minister of Israel)"
3801,2001-02-26,"HISTORIC NAMES","None","This ""Dragon"" was first famous for resisting Ottoman domination of Romania","Vlad the Impaler (\""Count Dracula\"")"
6024,2010-11-18,"EUROPEAN COUNTRIES","None","German is its official national language; Croatian, Slovene & Hungarian are each official in one of its states","Austria"
4459,2004-01-15,"POLITICAL CAMPAIGNS","None","This man's successful 2001 campaign was the most expensive non-presidential campaign in history","Michael Bloomberg"
4915,2006-01-13,"LITERARY HISTORY","None","Mary Roberts Rinehart's 1930 mystery novel ""The Door"" turned blaming this character into a cliche","the butler"
5603,2009-01-07,"INDEPENDENCE DAYS","None","Poland's Independence Day commemorates this month & day in 1918","November 11"
2845,1997-01-03,"THE WESTERN U.S.","None","This state capital rose from the ruins of a Hohokam Indian settlement","Phoenix, Arizona"
3646,2000-06-12,"MAGAZINES","None","In 1925 it was founded by an ex-editor of Stars and Stripes; in the '90s it was run by an ex-editor of Vanity Fair","The New Yorker"
5745,2009-07-24,"25 YEARS & COUNTING","None","In 2009 she was on a world tour at age 69; when ""Jeopardy!"" premiered in September 1984, she had the USA's No. 1 hit","Tina Turner"
5445,2008-04-18,"THE OSCARS","None","They're the only 2 trilogies in which all 3 of the films were nominated for Best Picture Oscars","The Godfather & The Lord of the Rings"
5805,2009-12-04,"THE 13th CENTURY","None","In 1298 this explorer created his ""Description of the World""","Marco Polo"
5259,2007-06-21,"STATE POPULATIONS","None","Between July 2005 & July 2006, this state gained nearly 500,000 people, more than any other state","Texas"
5529,2008-09-25,"ISLAND CHAINS","None","Before an 1867 sale, this island group was known as the Catherine Archipelago","the Aleutian Islands"
3416,1999-06-14,"COMPOSERS","None","""Reaching for the Note"" was the subtitle of a 1998 film about this American music legend who died in 1990","Leonard Bernstein"
3346,1999-03-08,"SHOW BIZ","None","In 1997 this singer & her husband opened a restaurant at Disney World called Bongo's Cuban Cafe","Gloria Estefan"
5224,2007-05-03,"PRESIDENTIAL SUCCESSION","None","It's the name of the person next in the line of presidential succession after Robert Byrd","Condoleezza Rice"
3280,1998-12-04,"AWARDS","None","In 1927 Cedric Gibbons designed this award that he went on to win 11 times","The Academy Award (Oscar)"
3119,1998-03-05,"AUTOBIOGRAPHIES","None","His books include ""Skyward"" (1928), ""Little America"" (1930) & ""Alone"" (1938)","Admiral Richard E. Byrd"
4560,2004-06-04,"RECORD HOLDERS","None","Phoebe Snetsinger, she of the apropos first name, set a record for this activity, about 8,400 species","birdwatching"
5386,2008-01-28,"TV CELEBRITIES","None","Not an actor, he is the highest-paid foreign-born personality on the 2007 Forbes list of top television earners","Simon Cowell"
3281,1998-12-07,"1998","None","Opened on July 1, the museum devoted to her lies near a classical temple dedicated to her memory","Princess Diana"
3210,1998-07-10,"1980s BESTSELLERS","None","A defection attempt by crew members of the Soviet frigate Storozhevoy inspired this 1984 bestseller","\""The Hunt for Red October\"""
4683,2005-01-05,"1920s NOSTALGIA","None","A poor couple window-shopping a diamond bracelet at this store inspired the song ""I Can't Give You Anything But Love""","Tiffany's"
5570,2008-11-21,"GREEK MYTHOLOGY","None","King Salmoneus dragged bronze kettles behind his chariot to imitate this; Zeus killed him","thunder"
3190,1998-06-12,"ORGANIZATIONS","None","This women's organization founded in 1890 was chartered by Congress in 1896","the Daughters of the American Revolution"
3910,2001-09-07,"ZOOLOGY","None","Animal species that's the subject of the longest consecutive study of any group of wild animals, 40 years","chimpanzees"
3951,2001-11-05,"ROYALTY","None","The king of this Asian country is known as the ""Possessor of the 24 Golden Umbrellas""","Thailand"
4569,2004-06-17,"COMMUNICATIONS","None","In the NATO phonetic alphabet (Alpha, Bravo, etc.), the 2 that are title Shakespearean characters","Romeo & Juliet"
3880,2001-06-15,"NAMES IN THE NEWS","None","On December 16, 2000, the day after his graduation, LSU retired his No. 33 jersey","Shaquille O' Neal"
1309,1990-04-19,"BUSINESS & INDUSTRY","None","This company was incorporated in 1946 as Tokyo Telecommunications Engineering Corporation","Sony"
4734,2005-03-17,"WORDS","None","This 6-letter word can mean both a bright light above someone's head & a dark cloud above our heads","nimbus"
5786,2009-11-09,"THE OLD TESTAMENT","None","This man was given the armor, helmet & sword of the first king of Israel, but refused to use them","David"
4205,2002-12-06,"20th CENTURY CLASSICAL MUSIC","None","This work written in 1931 consists of 5 movements including ""On the Trail"" & ""Painted Desert""","\""Grand Canyon Suite\"" (by Ferde Grofe)"
4172,2002-10-22,"WOMEN AUTHORS","None","A line in her first novel reads, ""I am to replace my mother, whose seat at the mah jong table has been empty""","Amy Tan (The Joy Luck Club)"
3248,1998-10-21,"PRESIDENTS","None","One of the two Whig Party presidents who did not die in office","Millard Fillmore or John Tyler"
5020,2006-06-09,"ROYALTY","None","His trial began on January 20, 1649","Charles I (of England)"
3817,2001-03-20,"THEATRE HISTORY","None","This playwright died in 406 B.C., so he never saw his famous tragedy at Colonus produced","Sophocles"
5147,2007-01-16,"THE U.S. GOVERNMENT","None","It's the only Cabinet department whose official website does not use the "".gov"" suffix","the Department of Defense"
6234,2011-10-27,"MOVIES","None","The villain's visage in this movie series was partly chosen due to its likeness to an 1893 work by a Norwegian artist","Scream"
2866,1997-02-03,"DEMOCRATS","None","Bill Clinton is the first Democrat since this man to be elected president twice","Franklin Delano Roosevelt"
4889,2005-12-08,"POLITICAL LINGO","None","Senate Rule 22 governs this; Clinton called it ""posturing to prove... a minority can paralyze the federal government""","filibusters"
3199,1998-06-25,"AMERICAN AUTHORS","None","This author born in 1904 grew up near Mulberry Street in Springfield, Massachusetts","Dr. Seuss (Theodor Geisel)"
4248,2003-02-05,"NATURE","None","The propagation of oak trees depends on the lousy memories of these animals","squirrels"
1266,1990-02-19,"ANCIENT HISTORY","None","Crassus, Julius Caesar & this man formed the 1st Triumvirate","Pompey"
5263,2007-06-27,"LITERATURE","None","Maris, Lycon, Laogonus, Erymas, Sarpedon, Erylaus & Patroclus die in Book 16 of this work","the Iliad"
3721,2000-11-06,"WASHINGTON PEOPLE","None","This man in office since 1987 has a plaque in his office that reads, ""The Buck Starts Here""","Alan Greenspan"
5258,2007-06-20,"LITERATURE","None","In 1852 his story ""The Dandy Frightening the Squatter"" appeared in The Carpet-Bag, a humorous paper","Mark Twain"
6057,2011-01-04,"THE HALL OF PRESIDENTS","None","Of the 9 presidents whose images have a beard or mustache, this late 19th century man is the only Democrat","Grover Cleveland"
6169,2011-06-09,"THE PRESIDENCY","None","From 1792 to 1886 this person, not the Speaker of the House, followed the vice president in the line of succession","the President pro tem (of the Senate)"
5068,2006-09-27,"FAMOUS PAINTERS","None","He said, “You could find me anytime at Fournaise’s”, a restaurant right on the Seine","Pierre-Auguste Renoir"
4488,2004-02-25,"ASTRONOMY","None","The name of Mintaka, a star in this constellation, is from the Arabic for 'belt""","Orion"
4672,2004-12-21,"DANTE'S INFERNO","None","At the center of Hell, Satan is devouring Brutus, Cassius & this biblical figure","Judas"
3307,1999-01-12,"U.S. GOVERNMENT","None","In its history this government body has had a total of 108 members, 106 of them men","The Supreme Court"
5714,2009-06-11,"HISTORIC AMERICANS","None","A 2007 book about these 2 men is subtitled ""Victorious American and Vanquished Virginian""","Ulysses S. Grant & Robert E. Lee"
5541,2008-10-13,"HISTORICAL SHAKESPEARE","None","In ""Henry VI, Part I"" this woman is described as ""a holy prophetess new risen up""","Joan of Arc"
3126,1998-03-16,"MODERN ARTISTS","None","Artist who said, ""On the floor I am more at ease, I feel nearer, more a part of the painting""","Jackson Pollock"
5496,2008-06-30,"PLAYWRIGHTS","None","On his death in 1950, he left part of his estate to promote a new phonetic alphabet","George Bernard Shaw"
4615,2004-10-01,"AMERICANISMS","None","Around 1900 Monroe Rosenfeld remarked that the music heard along NYC's 28th Street sounded like this","tin pans"
5726,2009-06-29,"THE BEATLES","None","Fittingly, the cover of this Beatles album shows the Fab Four engaging in a semaphore message","Help!"
3484,1999-10-28,"WORLD CAPITALS","None","This capital's name is from the Greek for ""Three Towns""","Tripoli, Libya"
6276,2011-12-26,"JOLLY OLD ENGLAND","None","Queen Anne liked the Marquess of Normanby, gave him permission to build a huge home in London & made him Duke of this","Buckingham"
5209,2007-04-12,"GOVERNORS","None","Of the 17 state governors who became president, the most from any state, 4, were from this one","New York"
3642,2000-06-06,"NEW CLASSICAL MUSIC","None","In 1999 in Norfolk, the Virginia Symphony premiered Steve Heitzeg's ""Aqua"", an homage to this man","Jacques Cousteau"
3601,2000-04-10,"'90s NOTABLES","None","In 1999 a stretch of I-70 that runs past Busch Stadium was renamed in his honor","Mark McGwire"
4516,2004-04-05,"ROCK GROUPS","None","This rock group took its name from a Johnny Cash album, whose title came from a Winston Churchill speech","Blood, Sweat and Tears"
2875,1997-02-14,"HISTORIC AMERICANS","None","He was the fourth Secretary of State, & the fourth Chief Justice","John Marshall"
4997,2006-05-09,"COMPOSING CONTEMPORARIES","None","One of 2 hyphenated composers who flourished in the 1870s, one with ""The Maid of Pskov"" & one with ""Samson et Dalila""","(1 of) Camille Saint-Saens & (Nicolai) Rimsky-Korsakov"
4492,2004-03-02,"U.S. CURRENCY","None","It's the only building to appear on 2 current U.S. bills; one is an interior view, the other an exterior view","Independence Hall"
962,1988-11-08,"PRESIDENTIAL ELECTIONS","None","He was the only incumbent vice president to defeat a president in a presidential election","Thomas Jefferson (1800)"
5703,2009-05-27,"BIG COUNTRIES","None","Forbes magazine uses ""BRIC"", an acronym for these 4 large nations advancing in economic power","Brazil, Russia, India & China"
2352,1994-11-22,"HISTORIC NAMES","None","Though he spent most of his life in Europe, he was governor of the Bahamas for most of World War II","Edward VIII/Duke of Windsor"
4656,2004-11-29,"BABY NAMES","None","Of the Social Security Administration's top 10 boys' names in 2000, the 2, ending in the same letter, on a list of the 12 Apostles","Matthew & Andrew"
3848,2001-05-02,"COLLEGES","None","Of 60 battles fought in the U.S. Civil War, 55 were commanded on both sides by graduates of this school","United States Military Academy (West Point)"
3194,1998-06-18,"U.S. STATESMEN","None","In 1814 & 1815, before he was president, he served simultaneously as Sec. of State & Sec. of War","James Monroe (under President Madison)"
5706,2009-06-01,"CARTOON SCIENCE","None","According to Chuck Jones, whenever possible, this force of nature was to be Wile E. Coyote's greatest enemy","gravity"
3651,2000-06-19,"HISTORIC PEOPLE","None","Venetians called him ""Il Milione"", man of the million lies","Marco Polo"
786,1988-01-25,"THE MOVIES","None","This musical drama was made in 1927 & remade in 1953 and 1980","The Jazz Singer"
5718,2009-06-17,"THE DOW JONES INDUSTRIAL AVERAGE","None","Of the 30 corporations that make up the Dow Jones index, it's the only one that began as an entertainment company","Disney"
6033,2010-12-01,"FRENCH AUTHORS","None","Published posthumously in 1970, his first novel, ""A Happy Death"", features a protagonist named Patrice Mersault","Albert Camus"
3529,1999-12-30,"HISTORIC QUESTIONS","None","""'Yes,' said he, with a kind smile, lifting his cap slightly"" was the reply to this 1871 question","\""Dr. Livingstone, I presume?\"""
279,1985-10-03,"WORLD POLITICS","None","Last Communist party chief of the U.S.S.R. to leave office without dying","Nikita Khrushchev"
3072,1997-12-30,"FOOD HISTORY","None","13th century invading Asian people who brought the idea of eating raw, chopped meat into the Germany area","the Tatars"
1424,1990-11-08,"WORLD GEOGRAPHY","None","This country contains South America's highest & lowest points","Argentina"
4202,2002-12-03,"WASHINGTON, D.C.","None","The National Mall is bounded by these 2 avenues whose names recall historic documents","Constitution & Independence Avenues"
5658,2009-03-25,"AUTHORS","None","In 1865 he wrote the line ""You're nothing but a pack of cards!""","Lewis Carroll"
4486,2004-02-23,"PRESIDENTIAL ELECTIONS","None","Since 1820, 1 of 3 men to lose a presidential election but win the rematch with the same individual 4 years later","(1 of 3)  Andrew Jackson, William Henry Harrison or Grover Cleveland"
3493,1999-11-10,"AFRICA","None","Towns in this country include Marshall & Tubmanburg","Liberia"
3414,1999-06-10,"BUSINESS & INDUSTRY","None","In 1903 Morris Michtom of New York began marketing these with presidential permission","Teddy Bears (named after Theodore Roosevelt)"
3132,1998-03-24,"20th CENTURY LEADERS","None","He built the Valley of the Fallen, his final resting place, just north of El Escorial","Francisco Franco"
5367,2008-01-01,"U.S. TRADE","None","It's the country from which the U.S. imports the most oil","Canada"
3585,2000-03-17,"HISTORIC AMERICAN HOMES","None","In 1999 famous Shakespearean actors joined an effort to preserve this murderer's childhood home","John Wilkes Booth (It's called Tudor Hall & it's near Baltimore)"
2346,1994-11-14,"ROYALTY","None","The last king of the Hellenes, he was the second to bear this name","King Constantine II (former King Constantine)"
571,1987-02-16,"BODIES OF WATER","None","Bordering on Mich. & N.Y., these 2 Great Lakes are the only ones to border on 1 state each","Lake Huron & Lake Ontario"
5104,2006-11-16,"HISTORIC OBJECTS","None","Famous ones have included the Kimberley, the Great Mogul & the Star of Arkansas","diamonds"
5727,2009-06-30,"AMERICAN HISTORY","None","History was made on December 1, 1955 when bus driver James Blake called the police & had this person arrested","Rosa Parks"
5618,2009-01-28,"MUSICAL INSPIRATIONS","None","The libretto for Haydn's oratorio ""The Creation"" was based on this epic English poem","Paradise Lost"
2926,1997-04-28,"MOUNTAINS","None","Range of mountains where Danny Kaye, Alan King & Rip Van Winkle gained fame","the Catskills"
4769,2005-05-05,"FEMALE FIRSTS","None","After 285 years, in 1945 this British organization inducted its first women, including Kathleen Lonsdale, seen <a href=""http://www.j-archive.com/media/2005-05-05_FJ.jpg"" target=""_blank"">here</a>","the Royal Society"
5769,2009-10-15,"BIBLICAL NAMES","None","Trees with biblical names include the Joshua tree & the world's oldest tree, a 4,700-year-old pine named for him","Methuselah"
5610,2009-01-16,"CULINARY HISTORY","None","This fruit dessert was created to celebrate Queen Victoria's decades on the British throne","cherries jubilee"
5300,2007-09-28,"NATIONAL HOLIDAYS","None","June 23, National Day in this country, began as a celebration of the birthday of Grand Duchess Charlotte","Luxembourg"
4604,2004-09-16,"AMERICAN AUTHORS","None","Ford Madox Ford, in the ‘20s, hadn’t “read more than six words” by this man before vowing to “publish everything he sent me”","Ernest Hemingway"
4391,2003-10-13,"MOVIES","None","A catering hall called Aphrodite's Palace is featured in this 2002 film","My Big Fat Greek Wedding"
2781,1996-10-07,"HISTORIC BOOKS","None","It was written in 1924 in the fortress of Landsberg am Lech","Mein Kampf by Adolf Hitler"
4685,2005-01-07,"MAGAZINES","None","Founded in 1821, it was named for its delivery time, the last mail delivery of the day","The Saturday Evening Post"
4199,2002-11-28,"THE CALENDAR","None","Rendered numerically, it was the last complete date where every digit was an odd number","11-19-1999"
3562,2000-02-15,"U.S. PRESIDENTS","None","The 2 U.S. presidents who served as governors of states west of the Mississippi River","Ronald Reagan (California) & Bill Clinton (Arkansas)"
3899,2001-07-12,"COLLEGES AND UNIVERSITIES","None","The 1939 event <a href=""http://www.j-archive.com/media/2001-07-12_FJ.jpg"" target=""_blank"">we just saw</a> came out of a concert originally to be sponsored at DAR Constitution Hall by this university","Howard University"
3845,2001-04-27,"19th CENTURY PERSONALITIES","None","In 1876 this German wired the king of Greece, ""I have gazed upon the face of Agamemnon""","Heinrich Schliemann"
3075,1998-01-02,"IN THE NEWS 1997","None","50 years after a famous incident, this city got a new flag, seen here, featuring a mysterious dot in the sky:","Roswell, New Mexico"
5217,2007-04-24,"19th CENTURY AMERICAN AUTHORS","None","He wrote, ""I wanted to live deep and suck out all the marrow of life, to live so sturdily and spartan-like...""","Thoreau"
3052,1997-12-02,"17th CENTURY LITERATURE","None","Part one of this English allegory ends, ""So I awoke, and behold it was a dream""","\""Pilgrim's Progress\"""
3668,2000-07-12,"WORLD CAPITALS","None","Founded in 1840, this city is the world's southernmost national capital","Wellington, New Zealand"
4042,2002-03-12,"WORLD CAPITALS","None","Other than Washington, D.C., it's the only world capital named for an American","Monrovia, Liberia"
1932,1993-01-19,"POLITICAL LEADERS","None","His books ""No Easy Walk to Freedom"" & ""The Struggle Is My Life"" were published during his imprisonment","Nelson Mandela"
5684,2009-04-30,"EUROPEAN PLACE NAMES","None","The ancient Greek name of this country means ""one house"", maybe reflecting that the area had only 1 temple","Monaco"
4886,2005-12-05,"U.S. STATES","None","Now the fourth largest in area, it's the largest state formed primarily from the Louisiana Purchase","Montana"
6157,2011-05-24,"THE 16th CENTURY","None","Held in 1579, the first Christian service in California was performed by the chaplain traveling with this English captain","Sir Francis Drake"
3603,2000-04-12,"SPACE EXPLORATION","None","A plaque left on the moon in July 1969 contains the signatures of Neil Armstrong, Buzz Aldrin & these 2 men","Richard Nixon & Michael Collins (the third Apollo 11 astronaut)"
4363,2003-07-16,"RECENT MOVIES","None","The opening credits of this 2003 action movie are depicted in Braille","Daredevil"
6286,2012-01-09,"RECENT FILMS","None","An early scene in this 2011 film is set in Tonsberg, Norway in the year 965 A.D.","Thor"
6080,2011-02-04,"BRITISH BUSINESS","None","For decades Rolls-Royce also owned this luxury brand named for its founder; now both are produced by German companies","Bentley"
3419,1999-06-17,"LITERARY BOTANY","None","This Asian herb of the family Pedaliaceae is closely associated with a poor woodcutter in the ""Arabian Nights""","Sesame"
3309,1999-01-14,"ISLANDS","None","At 3,600 square miles, it's the largest island in the Mediterranean where Italian is not an official language","Cyprus"
5497,2008-07-01,"PRESIDENTIAL RELATIVES","None","Before George W. Bush, he was the last president to have both his parents attend his inauguration","John F. Kennedy"
1945,1993-02-05,"OPERA","None","This 20th century opera was inspired by Hieronymus Bosch's painting ""The Adoration of the Magi""","Amahl and the Night Visitors"
3791,2001-02-12,"MOUNTAINS","None","The highest peak outside of Asia is found in this mountain range","the Andes (Mount Aconcagua)"
5635,2009-02-20,"ANCIENT WORKS","None","Astronomers used clues in the text of this epic to figure out the date of its archery contest: April 16, 1178 B.C.","The Odyssey"
6251,2011-11-21,"MOVIE CHARACTERS","None","900 years old when he died, he spoke in OSV syntax, object-subject-verb","Yoda"
3754,2000-12-21,"PLANTS & FLOWERS","None","Named for a U.S. statesman, it was known in Central America as the ""Flower of the Holy Night""","Poinsettia"
4453,2004-01-07,"SPORTS & BUSINESS","None","The watch Timex introduced in 1986 for this event in Hawaii quickly became the best-selling watch in America","the Ironman Triathlon"
4809,2005-06-30,"OSCAR NOMINEES","None","In a 1964 film, he played 3 characters but received only one nomination for Best Actor","Peter Sellers"
5268,2007-07-04,"WORD ORIGINS","None","From the Old French for a soldier sent ahead to clear the way, today it refers to the first settlers of a region","pioneers"
4676,2004-12-27,"BODIES OF WATER","None","This sea that extends about 1,200 miles was referred to in ancient times as the Erythraean Sea","the Red Sea"
5470,2008-05-23,"RELIGION","None","A Mennonite leader who was pro-foot washing & anti-beard trimming gave his name to this group","the Amish"
4590,2004-07-16,"FOOD","None","Experts believe that 16th C. Dutch growers, through breeding, gave this vegetable its color to honor their ruling house","the carrot"
1862,1992-10-13,"PRESIDENTS","None","Before Eisenhower, he was the last president to preside over the admission of a new state","Taft"
5732,2009-07-07,"EUROPEAN REGIONS","None","This arboreally named area was made famous by a prince in the region noted for impaling enemies on stakes","Transylvania"
2846,1997-01-06,"CLASSICAL LITERATURE","None","4 single biographies & 23 pairs of biographies make up this classical work","\""Plutarch's Lives\"""
5685,2009-05-01,"GLAND FINALE","None","This human gland important in the immune system takes its name in part from its resemblance to an herb","the thymus gland"
4359,2003-07-10,"ANIMALS","None","Odobenus, the genus name of this animal, comes from the Greek for ""one who walks with his teeth""","walrus"
1325,1990-05-11,"MEDICINE","None","His vaccine was announced safe in April '55, the 10th anniversary of FDR's death","Dr. Jonas Salk"
4540,2004-05-07,"THE 50 STATES","None","2 of the 4 states whose names start & end with the same letter","(2 of) Alaska, Arizona, Alabama & Ohio"
4181,2002-11-04,"OFFICIAL LANGUAGES","None","It is an official language of about 30 countries, second only to English","French"
5463,2008-05-14,"AMERICAN HISTORY","None","In the last week of the John Tyler administration, this republic was offered statehood","Texas"
5450,2008-04-25,"PRESIDENTS","None","Besides James & John, more U.S. presidents have had this first name than any other","William"
6021,2010-11-15,"SPORTS IN AMERICA","None","<a href=""http://www.j-archive.com/media/2010-11-15_FJ.jpg"" target=""_blank"">Seen</a> with a piece of equipment, Bryn Mawr's 1st physical education director brought this sport to the U.S.; it shares part of its name with another sport","field hockey"
5030,2006-06-23,"19th CENTURY LITERATURE","None","""I thought I would sail about a little and see the watery part of the world"", says this narrator","Ishmael"
5,1984-09-14,"THE OLYMPICS","None","Of the 5 continents symbolized by Olympic rings, only one never to hold Games","Africa"
3684,2000-09-14,"WORD ORIGINS","None","This residential district of Dublin held an annual fair from 1204 to 1855, when it was closed due to frequent fights","Donnybrook"
3105,1998-02-13,"EUROPEAN CITIES","None","City where Goethe & Nietzsche died & a republic & a breed of dog were born","Weimar (Weimar Republic & Weimaraner dog)"
5403,2008-02-20,"NOTABLE NAMES","None","At his death in April 1955, his brain was preserved & his ashes scattered in the Delaware River","Albert Einstein"
5652,2009-03-17,"RIVERS","None","The name of this river whose lower reaches run through Ghana is from Portuguese for ""turn"" or ""bend""","the Volta"
3250,1998-10-23,"THE SPACE RACE","None","In July 1998 it became the third nation to launch an interplanetary craft","Japan (launched a probe to Mars)"
6179,2011-06-23,"LITERARY SEQUELS","None","The mirror motif in this 1871 sequel includes 2 characters who are enantiomorphs, or mirror-image twins","Through the Looking Glass"
4567,2004-06-15,"CLASSIC LITERATURE","None","""Did I request thee, maker, from my clay to mould me man ..."" is the epigraph to this 1818 novel","Frankenstein"
2779,1996-10-03,"19th CENTURY AUTHORS","None","He rejected offers to run for Congress & Mayor of New York & to be Van Buren's Secretary of the Navy","Washington Irving"
